iter	Passed	Remaining
937	3392	224
938	3393	220
939	3395	216
940	3397	213
941	3399	209
942	3401	205
943	3403	201
944	3405	198
945	3407	194
946	3409	190
947	3411	187
948	3413	183
949	3415	179
950	3416	176
951	3418	172
952	3420	168
953	3422	165
954	3424	161
955	3426	157
956	3427	154
957	3429	150
958	3431	146
959	3433	143
960	3434	139
961	3436	135
962	3438	132
963	3440	128
964	3441	124
965	3443	121
966	3445	117
967	3447	113
968	3448	110
969	3450	106
970	3452	103
971	3454	99
972	3456	95
973	3457	92
974	3459	88
975	3461	85
976	3462	81
977	3464	77
978	3466	74
979	3467	70
980	3469	67
981	3471	63
982	3473	60
983	3474	56
984	3476	52
985	3478	49
986	3480	45
987	3481	42
988	3483	38
989	3485	35
990	3487	31
991	3488	28
992	3490	24
993	3491	21
994	3492	17
995	3494	14
996	3495	10
997	3496	7
998	3498	3
999	3500	0
3464	3
999	3466	0
